generated_at_utc,frame_index,forecast_minute,time_label,municipality,municipality_display,region,lat,lon,rain_frame_in_hr,rain_24h_in,wind_speed_mph,wind_dir_deg,wind_direction_text,wind_arrow,operational_risk_score,impact_level,is_focus_municipality,screen_reader_label
2026-07-03T21:41:18+00:00,1,5,+05 min,Aguas Buenas,Aguas Buenas,central_mountains,18.256,-66.103,0.03,0.7,9.4,112.5,ESE,↖,11.0,bajo,False,"Aguas Buenas: lluvia 24h 0.70 pulgadas, riesgo 11 de 100, viento 9.1 mph desde ESE."
2026-07-03T21:41:18+00:00,1,5,+05 min,Aibonito,Aibonito,central_mountains,18.139,-66.266,0.031,0.71,9.5,88.1,E,←,14.0,bajo,False,"Aibonito: lluvia 24h 0.71 pulgadas, riesgo 14 de 100, viento 9.2 mph desde E."
2026-07-03T21:41:18+00:00,1,5,+05 min,Anasco,Anasco,west,18.282,-67.14,0.033,0.76,4.7,102.2,ESE,←,24.0,vigilancia,False,"Anasco: lluvia 24h 0.76 pulgadas, riesgo 24 de 100, viento 4.6 mph desde ESE."
2026-07-03T21:41:18+00:00,1,5,+05 min,Arecibo,Arecibo,north_coast,18.472,-66.716,0.026,0.6,13.7,92.8,E,←,10.0,bajo,False,"Arecibo: lluvia 24h 0.60 pulgadas, riesgo 10 de 100, viento 13.3 mph desde E."
2026-07-03T21:41:18+00:00,1,5,+05 min,Arroyo,Arroyo,south_coast,17.965,-66.061,0.034,0.79,12.6,84.4,E,←,11.0,bajo,False,"Arroyo: lluvia 24h 0.79 pulgadas, riesgo 11 de 100, viento 12.2 mph desde E."
2026-07-03T21:41:18+00:00,1,5,+05 min,Barceloneta,Barceloneta,north_coast,18.45,-66.538,0.025,0.57,12.9,95.6,E,←,12.0,bajo,False,"Barceloneta: lluvia 24h 0.57 pulgadas, riesgo 12 de 100, viento 12.5 mph desde E."
2026-07-03T21:41:18+00:00,1,5,+05 min,Barranquitas,Barranquitas,central_mountains,18.186,-66.306,0.03,0.7,8.4,95.6,E,←,10.0,bajo,False,"Barranquitas: lluvia 24h 0.70 pulgadas, riesgo 10 de 100, viento 8.2 mph desde E."
2026-07-03T21:41:18+00:00,1,5,+05 min,Bayamon,Bayamon,north_coast,18.399,-66.156,0.025,0.58,11.8,98.4,E,←,7.0,bajo,False,"Bayamon: lluvia 24h 0.58 pulgadas, riesgo 7 de 100, viento 11.5 mph desde E."
2026-07-03T21:41:18+00:00,1,5,+05 min,Cabo Rojo,Cabo Rojo,west,18.086,-67.145,0.031,0.73,10.0,99.4,E,←,9.0,bajo,False,"Cabo Rojo: lluvia 24h 0.73 pulgadas, riesgo 9 de 100, viento 9.7 mph desde E."
2026-07-03T21:41:18+00:00,2,10,+10 min,Juana Diaz,Juana Díaz,south_coast,18.053,-66.506,0.023,0.49,10.4,86.2,E,←,8.0,bajo,True,"Juana Díaz: lluvia 24h 0.49 pulgadas, riesgo 8 de 100, viento 10.4 mph desde E."
