lat,lon,operational_risk_score,grid_kind
18.06,-66.88,18.357,idw_visual
18.06,-66.825,19.211,idw_visual
18.06,-66.77,19.608,idw_visual
18.06,-66.715,18.083,idw_visual
18.06,-66.66,14.12,idw_visual
18.06,-66.605,12.119,idw_visual
18.06,-66.55,11.875,idw_visual
18.06,-66.495,11.479,idw_visual
18.06,-66.44,12.056,idw_visual
18.06,-66.385,12.703,idw_visual
18.06,-66.33,13.17,idw_visual
18.06,-66.275,13.459,idw_visual
18.06,-66.22,13.61,idw_visual
18.06,-66.165,13.67,idw_visual
18.06,-66.11,13.68,idw_visual
18.06,-66.055,13.672,idw_visual
18.06,-66.0,13.668,idw_visual
18.06,-65.945,13.677,idw_visual
18.06,-65.89,13.702,idw_visual
18.06,-65.835,13.74,idw_visual
18.06,-65.78,13.789,idw_visual
18.06,-65.725,13.844,idw_visual
18.06,-65.67,13.903,idw_visual
18.06,-65.615,13.963,idw_visual
18.06,-65.56,14.022,idw_visual
18.06,-65.505,14.08,idw_visual
18.06,-65.45,14.136,idw_visual
18.06,-65.395,14.189,idw_visual
18.06,-65.34,14.239,idw_visual
18.06,-65.285,14.287,idw_visual
18.06,-65.23,14.331,idw_visual
18.06,-65.175,14.374,idw_visual
18.115,-67.32,16.362,idw_visual
18.115,-67.265,16.509,idw_visual
18.115,-67.21,16.736,idw_visual
18.115,-67.155,17.042,idw_visual
18.115,-67.1,17.331,idw_visual
18.115,-67.045,17.446,idw_visual
18.115,-66.99,17.491,idw_visual
18.115,-66.935,17.915,idw_visual
18.115,-66.88,19.072,idw_visual
18.115,-66.825,20.981,idw_visual
18.115,-66.77,23.231,idw_visual
18.115,-66.715,23.853,idw_visual
18.115,-66.66,19.695,idw_visual
18.115,-66.605,15.207,idw_visual
18.115,-66.55,13.053,idw_visual
18.115,-66.495,12.313,idw_visual
18.115,-66.44,12.581,idw_visual
18.115,-66.385,13.034,idw_visual
18.115,-66.33,13.369,idw_visual
18.115,-66.275,13.55,idw_visual
18.115,-66.22,13.608,idw_visual
18.115,-66.165,13.59,idw_visual
18.115,-66.11,13.543,idw_visual
18.115,-66.055,13.501,idw_visual
18.115,-66.0,13.485,idw_visual
18.115,-65.945,13.497,idw_visual
18.115,-65.89,13.534,idw_visual
18.115,-65.835,13.59,idw_visual
18.115,-65.78,13.657,idw_visual
18.115,-65.725,13.729,idw_visual
18.115,-65.67,13.804,idw_visual
18.115,-65.615,13.878,idw_visual
18.115,-65.56,13.949,idw_visual
18.115,-65.505,14.017,idw_visual
18.115,-65.45,14.081,idw_visual
18.115,-65.395,14.142,idw_visual
18.115,-65.34,14.198,idw_visual
18.115,-65.285,14.251,idw_visual
18.115,-65.23,14.3,idw_visual
18.115,-65.175,14.346,idw_visual
18.17,-67.32,16.173,idw_visual
18.17,-67.265,16.265,idw_visual
18.17,-67.21,16.44,idw_visual
18.17,-67.155,16.723,idw_visual
18.17,-67.1,17.048,idw_visual
18.17,-67.045,17.275,idw_visual
18.17,-66.99,17.489,idw_visual
18.17,-66.935,18.099,idw_visual
18.17,-66.88,19.509,idw_visual
18.17,-66.825,21.88,idw_visual
18.17,-66.77,24.824,idw_visual
18.17,-66.715,26.184,idw_visual
18.17,-66.66,22.84,idw_visual
18.17,-66.605,17.949,idw_visual
18.17,-66.55,15.019,idw_visual
18.17,-66.495,13.797,idw_visual
18.17,-66.44,13.524,idw_visual
18.17,-66.385,13.581,idw_visual
18.17,-66.33,13.657,idw_visual
18.17,-66.275,13.654,idw_visual
18.17,-66.22,13.57,idw_visual
18.17,-66.165,13.445,idw_visual
18.17,-66.11,13.331,idw_visual
18.17,-66.055,13.26,idw_visual
18.17,-66.0,13.243,idw_visual
18.17,-65.945,13.273,idw_visual
18.17,-65.89,13.336,idw_visual
18.17,-65.835,13.419,idw_visual
18.17,-65.78,13.512,idw_visual
18.17,-65.725,13.608,idw_visual
18.17,-65.67,13.702,idw_visual
18.17,-65.615,13.792,idw_visual
18.17,-65.56,13.876,idw_visual
18.17,-65.505,13.955,idw_visual
18.17,-65.45,14.029,idw_visual
18.17,-65.395,14.097,idw_visual
18.17,-65.34,14.159,idw_visual
18.17,-65.285,14.217,idw_visual
18.17,-65.23,14.271,idw_visual
18.17,-65.175,14.32,idw_visual
18.225,-67.32,15.956,idw_visual
18.225,-67.265,15.963,idw_visual
18.225,-67.21,16.036,idw_visual
18.225,-67.155,16.228,idw_visual
18.225,-67.1,16.542,idw_visual
18.225,-67.045,16.897,idw_visual
18.225,-66.99,17.318,idw_visual
18.225,-66.935,18.05,idw_visual
18.225,-66.88,19.376,idw_visual
18.225,-66.825,21.352,idw_visual
18.225,-66.77,23.428,idw_visual
18.225,-66.715,24.079,idw_visual
18.225,-66.66,22.076,idw_visual
18.225,-66.605,18.876,idw_visual
18.225,-66.55,16.416,idw_visual
18.225,-66.495,15.041,idw_visual
18.225,-66.44,14.4,idw_visual
18.225,-66.385,14.105,idw_visual
18.225,-66.33,13.904,idw_visual
18.225,-66.275,13.683,idw_visual
18.225,-66.22,13.429,idw_visual
18.225,-66.165,13.186,idw_visual
18.225,-66.11,13.01,idw_visual
18.225,-66.055,12.929,idw_visual
18.225,-66.0,12.935,idw_visual
18.225,-65.945,13.005,idw_visual
18.225,-65.89,13.111,idw_visual
18.225,-65.835,13.234,idw_visual
18.225,-65.78,13.36,idw_visual
18.225,-65.725,13.484,idw_visual
18.225,-65.67,13.6,idw_visual
18.225,-65.615,13.708,idw_visual
18.225,-65.56,13.807,idw_visual
18.225,-65.505,13.897,idw_visual
18.225,-65.45,13.98,idw_visual
18.225,-65.395,14.055,idw_visual
18.225,-65.34,14.124,idw_visual
18.225,-65.285,14.187,idw_visual
18.225,-65.23,14.244,idw_visual
18.225,-65.175,14.297,idw_visual
18.28,-67.32,15.754,idw_visual
18.28,-67.265,15.678,idw_visual
18.28,-67.21,15.643,idw_visual
18.28,-67.155,15.736,idw_visual
18.28,-67.1,16.004,idw_visual
18.28,-67.045,16.414,idw_visual
18.28,-66.99,16.952,idw_visual
18.28,-66.935,17.707,idw_visual
18.28,-66.88,18.793,idw_visual
