generated_at_utc,frame_index,forecast_minute,time_label,municipality,municipality_display,region,lat,lon,rain_frame_in_hr,rain_24h_in,wind_speed_mph,wind_dir_deg,wind_direction_text,wind_arrow,operational_risk_score,impact_level,is_focus_municipality,screen_reader_label,temperature_f,feels_like_f,heat_risk_level,temperature_plain_text,temperature_frame_f
2026-07-03T21:41:18+00:00,2,10,+10 min,Juana Diaz,Juana Díaz,south_coast,18.053,-66.506,0.023,0.49,10.4,86.2,E,←,8.0,bajo,True,"Juana Díaz: lluvia 0.023 pulgadas por hora, viento 10.4 mph, temperatura 84.5 °F, sensación 89.1 °F.",83.9,89.1,bajo,"Juana Díaz: temperatura 83.9 °F, sensación térmica 89.1 °F, humedad 66 %, riesgo de calor bajo. Monitoreo normal.",84.5
2026-07-03T21:41:18+00:00,2,10,+10 min,Ponce,Ponce,south_coast,18.011,-66.614,0.021,0.43,10.6,90.9,E,←,6.0,bajo,True,"Ponce: lluvia 0.021 pulgadas por hora, viento 10.6 mph, temperatura 86.1 °F, sensación 91.3 °F.",85.5,91.3,vigilancia,"Ponce: temperatura 85.5 °F, sensación térmica 91.3 °F, humedad 63 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",86.1
2026-07-03T21:41:18+00:00,2,10,+10 min,San German,San Germán,west,18.082,-67.044,0.036,0.74,9.5,102.2,ESE,←,9.0,bajo,True,"San Germán: lluvia 0.036 pulgadas por hora, viento 9.5 mph, temperatura 83.4 °F, sensación 90.9 °F.",82.8,90.9,vigilancia,"San Germán: temperatura 82.8 °F, sensación térmica 90.9 °F, humedad 80 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",83.4
2026-07-03T21:41:18+00:00,2,10,+10 min,San Juan,San Juan,north_coast,18.465,-66.105,0.033,0.69,13.2,90.0,E,←,9.0,bajo,True,"San Juan: lluvia 0.033 pulgadas por hora, viento 13.2 mph, temperatura 83.1 °F, sensación 90.5 °F.",82.5,90.5,vigilancia,"San Juan: temperatura 82.5 °F, sensación térmica 90.5 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",83.1
2026-07-03T21:41:18+00:00,2,10,+10 min,Adjuntas,Adjuntas,central_mountains,18.163,-66.723,0.033,0.69,5.4,112.5,ESE,↖,25.0,vigilancia,False,"Adjuntas: lluvia 0.033 pulgadas por hora, viento 5.4 mph, temperatura 76.9 °F, sensación 76.3 °F.",76.3,76.3,bajo,"Adjuntas: temperatura 76.3 °F, sensación térmica 76.3 °F, humedad 82 %, riesgo de calor bajo. Monitoreo normal.",76.9
2026-07-03T21:41:18+00:00,2,10,+10 min,Aguada,Aguada,west,18.379,-67.188,0.038,0.79,6.8,78.8,E,←,31.0,vigilancia,False,"Aguada: lluvia 0.038 pulgadas por hora, viento 6.8 mph, temperatura 82.9 °F, sensación 90.1 °F.",82.3,90.1,vigilancia,"Aguada: temperatura 82.3 °F, sensación térmica 90.1 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.9
2026-07-03T21:41:18+00:00,2,10,+10 min,Aguadilla,Aguadilla,west,18.427,-67.154,0.037,0.76,8.0,81.6,E,←,23.0,vigilancia,False,"Aguadilla: lluvia 0.037 pulgadas por hora, viento 8.0 mph, temperatura 83.5 °F, sensación 90.0 °F.",82.9,90.0,vigilancia,"Aguadilla: temperatura 82.9 °F, sensación térmica 90.0 °F, humedad 76 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",83.5
2026-07-03T21:41:18+00:00,2,10,+10 min,Aguas Buenas,Aguas Buenas,central_mountains,18.256,-66.103,0.033,0.7,9.1,112.5,ESE,↖,11.0,bajo,False,"Aguas Buenas: lluvia 0.033 pulgadas por hora, viento 9.1 mph, temperatura 80.6 °F, sensación 84.3 °F.",80.0,84.3,bajo,"Aguas Buenas: temperatura 80.0 °F, sensación térmica 84.3 °F, humedad 81 %, riesgo de calor bajo. Monitoreo normal.",80.6
2026-07-03T21:41:18+00:00,2,10,+10 min,Aibonito,Aibonito,central_mountains,18.139,-66.266,0.035,0.71,9.2,88.1,E,←,14.0,bajo,False,"Aibonito: lluvia 0.035 pulgadas por hora, viento 9.2 mph, temperatura 76.5 °F, sensación 75.9 °F.",75.9,75.9,bajo,"Aibonito: temperatura 75.9 °F, sensación térmica 75.9 °F, humedad 81 %, riesgo de calor bajo. Monitoreo normal.",76.5
2026-07-03T21:41:18+00:00,2,10,+10 min,Anasco,Anasco,west,18.282,-67.14,0.037,0.76,4.6,102.2,ESE,←,24.0,vigilancia,False,"Anasco: lluvia 0.037 pulgadas por hora, viento 4.6 mph, temperatura 82.8 °F, sensación 90.1 °F.",82.2,90.1,vigilancia,"Anasco: temperatura 82.2 °F, sensación térmica 90.1 °F, humedad 83 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.8
2026-07-03T21:41:18+00:00,2,10,+10 min,Arecibo,Arecibo,north_coast,18.472,-66.716,0.029,0.6,13.3,92.8,E,←,10.0,bajo,False,"Arecibo: lluvia 0.029 pulgadas por hora, viento 13.3 mph, temperatura 83.1 °F, sensación 90.5 °F.",82.5,90.5,vigilancia,"Arecibo: temperatura 82.5 °F, sensación térmica 90.5 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",83.1
2026-07-03T21:41:18+00:00,2,10,+10 min,Arroyo,Arroyo,south_coast,17.965,-66.061,0.038,0.79,12.2,84.4,E,←,11.0,bajo,False,"Arroyo: lluvia 0.038 pulgadas por hora, viento 12.2 mph, temperatura 83.1 °F, sensación 88.6 °F.",82.5,88.6,bajo,"Arroyo: temperatura 82.5 °F, sensación térmica 88.6 °F, humedad 75 %, riesgo de calor bajo. Monitoreo normal.",83.1
2026-07-03T21:41:18+00:00,2,10,+10 min,Barceloneta,Barceloneta,north_coast,18.45,-66.538,0.028,0.57,12.5,95.6,E,←,12.0,bajo,False,"Barceloneta: lluvia 0.028 pulgadas por hora, viento 12.5 mph, temperatura 82.8 °F, sensación 89.7 °F.",82.2,89.7,bajo,"Barceloneta: temperatura 82.2 °F, sensación térmica 89.7 °F, humedad 82 %, riesgo de calor bajo. Monitoreo normal.",82.8
2026-07-03T21:41:18+00:00,2,10,+10 min,Barranquitas,Barranquitas,central_mountains,18.186,-66.306,0.033,0.7,8.2,95.6,E,←,10.0,bajo,False,"Barranquitas: lluvia 0.033 pulgadas por hora, viento 8.2 mph, temperatura 76.6 °F, sensación 76.0 °F.",76.0,76.0,bajo,"Barranquitas: temperatura 76.0 °F, sensación térmica 76.0 °F, humedad 86 %, riesgo de calor bajo. Monitoreo normal.",76.6
2026-07-03T21:41:18+00:00,2,10,+10 min,Bayamon,Bayamon,north_coast,18.399,-66.156,0.028,0.58,11.5,98.4,E,←,7.0,bajo,False,"Bayamon: lluvia 0.028 pulgadas por hora, viento 11.5 mph, temperatura 84.6 °F, sensación 93.8 °F.",84.0,93.8,vigilancia,"Bayamon: temperatura 84.0 °F, sensación térmica 93.8 °F, humedad 79 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",84.6
2026-07-03T21:41:18+00:00,2,10,+10 min,Cabo Rojo,Cabo Rojo,west,18.086,-67.145,0.035,0.73,9.7,99.4,E,←,9.0,bajo,False,"Cabo Rojo: lluvia 0.035 pulgadas por hora, viento 9.7 mph, temperatura 82.8 °F, sensación 90.3 °F.",82.2,90.3,vigilancia,"Cabo Rojo: temperatura 82.2 °F, sensación térmica 90.3 °F, humedad 84 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.8
2026-07-03T21:41:18+00:00,3,15,+15 min,Juana Diaz,Juana Díaz,south_coast,18.053,-66.506,0.024,0.49,10.0,86.2,E,←,8.0,bajo,True,"Juana Díaz: lluvia 0.024 pulgadas por hora, viento 10.0 mph, temperatura 84.7 °F, sensación 89.1 °F.",83.9,89.1,bajo,"Juana Díaz: temperatura 83.9 °F, sensación térmica 89.1 °F, humedad 66 %, riesgo de calor bajo. Monitoreo normal.",84.7
2026-07-03T21:41:18+00:00,3,15,+15 min,Ponce,Ponce,south_coast,18.011,-66.614,0.022,0.43,10.2,90.9,E,←,6.0,bajo,True,"Ponce: lluvia 0.022 pulgadas por hora, viento 10.2 mph, temperatura 86.3 °F, sensación 91.3 °F.",85.5,91.3,vigilancia,"Ponce: temperatura 85.5 °F, sensación térmica 91.3 °F, humedad 63 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",86.3
2026-07-03T21:41:18+00:00,3,15,+15 min,San German,San Germán,west,18.082,-67.044,0.037,0.74,9.2,102.2,ESE,←,9.0,bajo,True,"San Germán: lluvia 0.037 pulgadas por hora, viento 9.2 mph, temperatura 83.6 °F, sensación 90.9 °F.",82.8,90.9,vigilancia,"San Germán: temperatura 82.8 °F, sensación térmica 90.9 °F, humedad 80 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",83.6
2026-07-03T21:41:18+00:00,3,15,+15 min,San Juan,San Juan,north_coast,18.465,-66.105,0.035,0.69,12.7,90.0,E,←,9.0,bajo,True,"San Juan: lluvia 0.035 pulgadas por hora, viento 12.7 mph, temperatura 83.3 °F, sensación 90.5 °F.",82.5,90.5,vigilancia,"San Juan: temperatura 82.5 °F, sensación térmica 90.5 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",83.3
2026-07-03T21:41:18+00:00,3,15,+15 min,Adjuntas,Adjuntas,central_mountains,18.163,-66.723,0.035,0.69,5.2,112.5,ESE,↖,25.0,vigilancia,False,"Adjuntas: lluvia 0.035 pulgadas por hora, viento 5.2 mph, temperatura 77.1 °F, sensación 76.3 °F.",76.3,76.3,bajo,"Adjuntas: temperatura 76.3 °F, sensación térmica 76.3 °F, humedad 82 %, riesgo de calor bajo. Monitoreo normal.",77.1
2026-07-03T21:41:18+00:00,3,15,+15 min,Aguada,Aguada,west,18.379,-67.188,0.04,0.79,6.6,78.8,E,←,31.0,vigilancia,False,"Aguada: lluvia 0.040 pulgadas por hora, viento 6.6 mph, temperatura 83.1 °F, sensación 90.1 °F.",82.3,90.1,vigilancia,"Aguada: temperatura 82.3 °F, sensación térmica 90.1 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",83.1
2026-07-03T21:41:18+00:00,3,15,+15 min,Aguadilla,Aguadilla,west,18.427,-67.154,0.038,0.76,7.7,81.6,E,←,23.0,vigilancia,False,"Aguadilla: lluvia 0.038 pulgadas por hora, viento 7.7 mph, temperatura 83.7 °F, sensación 90.0 °F.",82.9,90.0,vigilancia,"Aguadilla: temperatura 82.9 °F, sensación térmica 90.0 °F, humedad 76 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",83.7
2026-07-03T21:41:18+00:00,3,15,+15 min,Aguas Buenas,Aguas Buenas,central_mountains,18.256,-66.103,0.035,0.7,8.8,112.5,ESE,↖,11.0,bajo,False,"Aguas Buenas: lluvia 0.035 pulgadas por hora, viento 8.8 mph, temperatura 80.8 °F, sensación 84.3 °F.",80.0,84.3,bajo,"Aguas Buenas: temperatura 80.0 °F, sensación térmica 84.3 °F, humedad 81 %, riesgo de calor bajo. Monitoreo normal.",80.8
