generated_at_utc,frame_index,forecast_minute,time_label,municipality,municipality_display,region,lat,lon,rain_frame_in_hr,rain_24h_in,wind_speed_mph,wind_dir_deg,wind_direction_text,wind_arrow,operational_risk_score,impact_level,is_focus_municipality,screen_reader_label,temperature_f,feels_like_f,heat_risk_level,temperature_plain_text,temperature_frame_f
2026-07-03T21:41:18+00:00,0,0,+00 min,Barceloneta,Barceloneta,north_coast,18.45,-66.538,0.02,0.57,13.0,95.6,E,←,12.0,bajo,False,"Barceloneta: lluvia 0.020 pulgadas por hora, viento 13.0 mph, temperatura 82.2 °F, sensación 89.7 °F.",82.2,89.7,bajo,"Barceloneta: temperatura 82.2 °F, sensación térmica 89.7 °F, humedad 82 %, riesgo de calor bajo. Monitoreo normal.",82.2
2026-07-03T21:41:18+00:00,0,0,+00 min,Barranquitas,Barranquitas,central_mountains,18.186,-66.306,0.025,0.7,8.5,95.6,E,←,10.0,bajo,False,"Barranquitas: lluvia 0.025 pulgadas por hora, viento 8.5 mph, temperatura 76.0 °F, sensación 76.0 °F.",76.0,76.0,bajo,"Barranquitas: temperatura 76.0 °F, sensación térmica 76.0 °F, humedad 86 %, riesgo de calor bajo. Monitoreo normal.",76.0
2026-07-03T21:41:18+00:00,0,0,+00 min,Bayamon,Bayamon,north_coast,18.399,-66.156,0.02,0.58,12.0,98.4,E,←,7.0,bajo,False,"Bayamon: lluvia 0.020 pulgadas por hora, viento 12.0 mph, temperatura 84.0 °F, sensación 93.8 °F.",84.0,93.8,vigilancia,"Bayamon: temperatura 84.0 °F, sensación térmica 93.8 °F, humedad 79 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",84.0
2026-07-03T21:41:18+00:00,0,0,+00 min,Cabo Rojo,Cabo Rojo,west,18.086,-67.145,0.025,0.73,10.1,99.4,E,←,9.0,bajo,False,"Cabo Rojo: lluvia 0.025 pulgadas por hora, viento 10.1 mph, temperatura 82.2 °F, sensación 90.3 °F.",82.2,90.3,vigilancia,"Cabo Rojo: temperatura 82.2 °F, sensación térmica 90.3 °F, humedad 84 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.2
2026-07-03T21:41:18+00:00,1,5,+05 min,Juana Diaz,Juana Díaz,south_coast,18.053,-66.506,0.02,0.49,10.7,86.2,E,←,8.0,bajo,True,"Juana Díaz: lluvia 0.020 pulgadas por hora, viento 10.7 mph, temperatura 84.2 °F, sensación 89.1 °F.",83.9,89.1,bajo,"Juana Díaz: temperatura 83.9 °F, sensación térmica 89.1 °F, humedad 66 %, riesgo de calor bajo. Monitoreo normal.",84.2
2026-07-03T21:41:18+00:00,1,5,+05 min,Ponce,Ponce,south_coast,18.011,-66.614,0.018,0.43,10.9,90.9,E,←,6.0,bajo,True,"Ponce: lluvia 0.018 pulgadas por hora, viento 10.9 mph, temperatura 85.8 °F, sensación 91.3 °F.",85.5,91.3,vigilancia,"Ponce: temperatura 85.5 °F, sensación térmica 91.3 °F, humedad 63 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",85.8
2026-07-03T21:41:18+00:00,1,5,+05 min,San German,San Germán,west,18.082,-67.044,0.032,0.74,9.8,102.2,ESE,←,9.0,bajo,True,"San Germán: lluvia 0.032 pulgadas por hora, viento 9.8 mph, temperatura 83.1 °F, sensación 90.9 °F.",82.8,90.9,vigilancia,"San Germán: temperatura 82.8 °F, sensación térmica 90.9 °F, humedad 80 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",83.1
2026-07-03T21:41:18+00:00,1,5,+05 min,San Juan,San Juan,north_coast,18.465,-66.105,0.03,0.69,13.6,90.0,E,←,9.0,bajo,True,"San Juan: lluvia 0.030 pulgadas por hora, viento 13.6 mph, temperatura 82.8 °F, sensación 90.5 °F.",82.5,90.5,vigilancia,"San Juan: temperatura 82.5 °F, sensación térmica 90.5 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.8
2026-07-03T21:41:18+00:00,1,5,+05 min,Adjuntas,Adjuntas,central_mountains,18.163,-66.723,0.03,0.69,5.6,112.5,ESE,↖,25.0,vigilancia,False,"Adjuntas: lluvia 0.030 pulgadas por hora, viento 5.6 mph, temperatura 76.6 °F, sensación 76.3 °F.",76.3,76.3,bajo,"Adjuntas: temperatura 76.3 °F, sensación térmica 76.3 °F, humedad 82 %, riesgo de calor bajo. Monitoreo normal.",76.6
2026-07-03T21:41:18+00:00,1,5,+05 min,Aguada,Aguada,west,18.379,-67.188,0.034,0.79,7.0,78.8,E,←,31.0,vigilancia,False,"Aguada: lluvia 0.034 pulgadas por hora, viento 7.0 mph, temperatura 82.6 °F, sensación 90.1 °F.",82.3,90.1,vigilancia,"Aguada: temperatura 82.3 °F, sensación térmica 90.1 °F, humedad 82 %, riesgo de calor vigilancia. Observar cambios durante la tarde y preparar comunicación preventiva si aumenta el calor.",82.6
